candidate_id,degree,gpa,skills,experience_years,certification,projects,soft_skill,location
1,Software Engineering,2.14,React,4,Cisco,6,Communication,Mombasa
2,Software Engineering,2.99,Machine Learning,2,None,4,Teamwork,Nairobi
3,Data Science,2.75,Python,0,AWS,1,Teamwork,Remote
4,Software Engineering,2.23,Machine Learning,1,AWS,4,Problem Solving,Mombasa
5,Data Science,3.32,C++,0,None,1,Communication,Kisumu
6,Software Engineering,2.59,Python,7,AWS,1,Leadership,Mombasa
7,Data Science,2.95,Python,3,Cisco,4,Communication,Kisumu
8,Data Science,3.06,React,0,Google Cloud,0,Leadership,Mombasa
9,Information Technology,2.98,Machine Learning,4,AWS,0,Leadership,Kisumu
10,Software Engineering,2.62,JavaScript,5,None,5,Teamwork,Remote
11,Information Technology,2.95,Flask,1,Cisco,3,Leadership,Nairobi
12,Information Technology,3.13,Flask,6,Google Cloud,4,Leadership,Kisumu
13,Information Technology,2.32,Machine Learning,6,AWS,2,Communication,Kisumu
14,Information Technology,3.68,Python,3,None,1,Problem Solving,Kisumu
15,Data Science,3.34,React,5,Cisco,6,Problem Solving,Remote
16,Software Engineering,3.17,C++,0,Cisco,6,Problem Solving,Nairobi
17,Information Technology,2.56,SQL,7,Google Cloud,2,Leadership,Remote
18,Software Engineering,3.83,JavaScript,3,Google Cloud,5,Communication,Remote
19,Data Science,2.26,SQL,7,AWS,0,Leadership,Nairobi
20,Software Engineering,2.17,Java,0,Google Cloud,6,Leadership,Remote
21,Data Science,3.25,Java,5,Google Cloud,5,Leadership,Nairobi
22,Data Science,3.33,Java,2,Cisco,4,Teamwork,Remote
23,Computer Science,2.82,C++,7,Cisco,3,Communication,Remote
24,Data Science,3.51,Machine Learning,1,Cisco,6,Leadership,Remote
25,Data Science,2.29,Flask,7,Google Cloud,3,Teamwork,Remote
26,Software Engineering,3.35,SQL,4,None,5,Leadership,Mombasa
27,Information Technology,2.26,C++,2,Cisco,5,Teamwork,Nairobi
28,Software Engineering,3.51,JavaScript,3,AWS,4,Leadership,Kisumu
29,Information Technology,2.22,Python,1,Cisco,0,Problem Solving,Nairobi
30,Computer Science,3.23,React,7,AWS,3,Teamwork,Mombasa
31,Data Science,3.78,Flask,1,Google Cloud,0,Teamwork,Kisumu
32,Data Science,2.8,Machine Learning,7,Google Cloud,4,Leadership,Kisumu
33,Information Technology,2.1,React,2,AWS,0,Leadership,Kisumu
34,Computer Science,3.69,Machine Learning,0,None,2,Communication,Remote
35,Computer Science,3.26,Flask,2,AWS,2,Teamwork,Kisumu
36,Information Technology,3.84,SQL,3,AWS,0,Communication,Mombasa
37,Computer Science,3.37,JavaScript,4,None,2,Leadership,Mombasa
38,Computer Science,2.77,Java,7,Google Cloud,0,Communication,Kisumu
39,Information Technology,3.61,Machine Learning,7,Google Cloud,1,Problem Solving,Nairobi
40,Computer Science,3.65,Machine Learning,5,AWS,4,Teamwork,Remote
41,Data Science,3.99,Python,2,Cisco,1,Communication,Kisumu
